Source-to-Target Mapping — STM_COVID_MUND,,,,,,,,,,,,
TARGET,,,,,,SOURCE,,,,,,
"Mapping
Change Date","Target
Table","Target
Column",Nullable,PK,"Data-type,
Length","Source
Table","Source
Column","Data-type,
Length
(Source)","Expression /
Transformation","Default
Value","TR
Ref.","Error Types
and Handling"
2026-06-20,stage_covid_mundial,anio,NO,NO,SMALLINT,sandbox_covid_mundial,Date_reported,DATE,dt.year. Fechas inválidas --> fila descartada.,—,"TR-006, TR-008",NULL: descartar fila
2026-06-20,stage_covid_mundial,mes,NO,NO,SMALLINT,sandbox_covid_mundial,Date_reported,DATE,dt.month.,—,TR-006,—
2026-06-20,stage_covid_mundial,country_code,NO,NO,VARCHAR(5),sandbox_covid_mundial,Country_code,VARCHAR,Filtro: solo 35 países seleccionados (lista PAISES_SELECCIONADOS).,—,TR-013,País no listado: descartar fila
2026-06-20,stage_covid_mundial,country_name,YES,NO,VARCHAR(80),sandbox_covid_mundial,Country,VARCHAR,Valor directo del source.,—,—,—
2026-06-20,stage_covid_mundial,who_region,YES,NO,VARCHAR(10),sandbox_covid_mundial,WHO_region,VARCHAR,Valor directo del source.,—,—,—
2026-06-20,stage_covid_mundial,who_region_desc,YES,NO,VARCHAR(50),(calculado),WHO_region,VARCHAR,Lookup en WHO_REGION_MAP. Sin match -->  'Otro'.,Otro,TR-014,Sin match --> 'Otro'
2026-06-20,stage_covid_mundial,region,YES,NO,VARCHAR(30),(calculado),country_code,—,Lookup en PAISES_SELECCIONADOS[iso2][1] para obtener región geográfica propia.,—,TR-013,—
2026-06-20,stage_covid_mundial,new_cases_mes,YES,NO,FLOAT,sandbox_covid_mundial,New_cases,Numeric,"SUM por (country_code, year, month). Agregación semanal --> mensual.",—,TR-015,—
2026-06-20,stage_covid_mundial,new_deaths_mes,YES,NO,FLOAT,sandbox_covid_mundial,New_deaths,Numeric,"SUM por (country_code, year, month). Agregación semanal -->  mensual.",—,TR-015,—
2026-06-20,stage_covid_mundial,cum_cases_fin,YES,NO,FLOAT,sandbox_covid_mundial,Cumulative_cases,Numeric,"LAST valor del mes por (country_code, year, month).",—,TR-015,—
2026-06-20,stage_covid_mundial,cum_deaths_fin,YES,NO,FLOAT,sandbox_covid_mundial,Cumulative_deaths,Numeric,"LAST valor del mes por (country_code, year, month).",—,TR-015,—
2026-06-20,stage_covid_mundial,semanas_reporte,YES,NO,INTEGER,(calculado),Date_reported,DATE,COUNT de registros semanales en el mes.,—,TR-015,—
2026-06-20,stage_covid_mundial,periodo,YES,NO,VARCHAR(20),(calculado),anio,—,"<2020: 'pre-COVID', 2020-2021: 'COVID', >2021: 'post-COVID'.",Ignorado,TR-001,—
2026-06-20,stage_covid_mundial,fuente_origen,NO,NO,VARCHAR(30),(constante),—,—,Valor fijo: 'OMS_COVID_MUNDIAL_STAGE'.,OMS_COVID_MUNDIAL_STAGE,TR-007,—
2026-06-20,stage_covid_mundial,fecha_carga,NO,NO,TIMESTAMP,(sistema),—,—,datetime.now() al momento de ejecución.,NOW(),TR-007,—